id,Num,Country,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16,X17,X18,X19,X20,X21,X22,X23,X24,X25,X26,X27,X28,X29,X30,X31,X32,X33,X34,X35,X36,X37,X38,X39,X40,X41,X42,X43,X44,X45,X46,X47,X48,X49,X50,X51,X52,X53,X54,X55,X56,X57,X58,X59,X60,X61,X62,X63,X64,X65,X66,X67,X68,X69,X70,X71,X72,X73,X74,X75,X76,X77,X78,X79,X80,X81,X82,S
45,207,Poland,-0.05,0.28,0.16,1.8,-0.16,-0.05,2.51,1.45,0.72,-0.05,-0.24,-0.02,-0.03,-0.09,3.51,-0.18,-0.03,-0.05,-0.04,0.88,-0.11,-24.99,0.24,4.35,0.17,-0.07,7.66,5.27,2.81,1.45,2.03,0.8,1.94,0.23,-0.03,-0.3,0.92,-0.03,-0.02,1.24,0.2,1.1,1.24,3471,-0.07,0.12,8.44,10.64,7.4,2.24,-0.01,-0.38,0.16,0.14,0.09,0.48,1.53,0.69,-17.99,0.38,-2.72,0,0.01,0,0.03,123.59,-1843.63,-3098,-1769.85,88.38,136.53,0.76,0.78,0.9,0.62,-9.79,13.27,0.55,0.67,0.53,-1.97,-0.34,2
46,218,Poland,0.04,0.56,-0.1,0.51,0.24,0.05,0.77,0.43,0.44,0.05,0.24,0.22,0.15,0.17,1.77,0.1,0.11,0.05,0.09,0.19,0.15,-6.74,-0.11,4.77,1.32,0.12,1.95,0.68,0,0.44,0.23,0.8,0,0.01,0.13,2.53,0.43,0.1,0.24,0.18,0.2,0.48,0.89,-5628.75,0.09,0.84,28.14,5.13,2.17,0.47,-0.32,0.57,0.72,0.07,0.16,0.12,0.18,0.34,91.65,0.67,1.24,0,0,0,0,1066.66,10072.86,4527.1,8578.3,465.17,516.97,1.06,1.07,1.04,1.09,1,m,0.97,1.1,1.08,0.91,-2.22,2
47,233,Slovakia,0.06,0.38,0.51,2.4,0.41,0.09,1.66,0.5,0.62,0.09,0.25,0.18,0.22,0.24,2.66,0.24,0.18,0.09,0.13,0.21,0.17,m,3.91,4.63,0.7,0.15,1.13,1.09,0,0.5,66.5,0.64,0,0.06,0.18,m,2.4,0,0,2.31,0.36,4.81,4.91,21516,0.1,0.02,m,0.59,1.39,3.88,1.23,m,m,0,0,0,0,0,m,0,0,0,0.01,0.28,0,10247.47,71515.28,m,69624.03,6393.4,49321.6,0.5,0.57,0.7,0.67,0.33,m,m,0.67,0.46,m,m,2
48,238,Poland,0.04,0.67,0.24,1.46,0.04,0.05,0.49,1.79,0.33,0.07,0.09,0.05,0.04,0.14,1.49,0.1,0.03,0.07,0.02,0.29,0.12,-3.64,1.1,4.01,0.36,0.2,3.29,2.61,1.79,1.82,1.2,0.47,1,0.06,0.04,0.06,0.31,0.11,0.06,1.16,0.53,1.47,2.1,2531,0.11,0.43,2.93,13.2,3.36,8.07,-0.21,33.27,38.38,0,0,0,0.01,0,-0.28,0,0.02,0,0.01,0,0,515.79,3371.92,1569.14,2586.14,168.56,759.28,1.07,1.12,1.08,0.98,0.54,0.81,1.01,0.89,1,-0.01,-0.16,2
49,245,Poland,0,0.53,-0.01,0.97,0.03,0,0.9,0.7,0.47,0.03,0.01,0,0.03,0.01,1.9,0.06,0,0.03,0,0.45,0,-1.04,-0.02,4.38,0.75,0.07,2.73,2.02,0,1.09,1.59,0.61,0,0.27,0.05,0,0.57,0.05,0.07,0.72,0.39,0.76,0.99,-251.27,0,0.29,4.45,6.2,1.81,1.13,-0.15,0,0,-0.2,-0.28,-0.37,-1.43,-0.51,20.77,-0.52,-6.18,0,0,0,0,96.68,15127.4,922.91,1435.29,45.86,73.76,0.85,1.19,1,0.96,1.91,0.02,1.58,0.64,0.79,-2.73,4.63,2
50,248,Slovakia,0.02,0.8,-0.02,0.97,-0.1,0.02,0.25,1.09,0.2,0.04,0.04,0.02,0.03,0.03,1.25,0.05,0.02,0.04,0.01,0.3,0.02,-2.36,-0.05,4.11,0.72,0.19,1.82,1.38,0,1.14,1.23,0.39,0,0.03,0.03,0.05,0.39,0.07,0.06,0.73,0.61,0.48,0.95,-261,0.08,0.98,3.13,4.87,1.79,2.63,-0.33,m,m,0,0,0,0,0,m,0,0,0,0.14,0.01,0,181.85,1682.29,520.72,969.24,36.07,87.24,0.93,0.95,1,1.08,0.81,m,1.4,0.83,0.86,m,m,2
51,260,Poland,0.11,0.26,0.6,3.34,0.04,0.13,2.75,2.07,0.72,0.15,0.53,0.07,0.07,0.52,3.83,0.53,0.06,0.14,0.05,0.67,0.43,-9.45,4.02,3.96,0.05,0.19,7.64,7.47,0,2.09,128.81,0.72,0,1.74,0.07,1.35,3.02,0.14,0.07,3.26,0.25,4.83,4.87,5443.01,0.15,0.01,25.71,6.34,8.14,13.98,0.26,-0.8,-0.02,-0.14,-0.07,-0.53,-22.89,-0.54,-42.19,-0.16,-0.99,0,0,0,0,2787.39,14939.22,14106.11,14382.85,1999.66,13472.82,0.93,0.93,1.04,1.02,0.98,2.79,1.67,1.04,0.98,2.11,-0.07,2
52,274,Poland,-1.2,2.08,-1.37,0.33,-1.79,-1.2,-0.52,13.4,-1.08,-0.76,-0.58,-0.09,-0.06,-0.58,0.48,-0.4,-0.09,-0.82,-0.09,0.71,-0.58,1.88,-4.3,4.4,0.15,0.76,6.94,6.85,0,13.43,13.36,-1.05,0,0.1,-0.06,-3.74,0.18,-0.79,-0.06,0.33,2.05,-3.38,-3.3,-34610.7,1.11,-0.03,41.93,86.73,6.53,42.02,-0.12,-0.4,0,2.96,0.22,1.42,109.45,1.44,88.39,4.35,-3.59,-0.03,0.37,-0.04,0,-44.52,-40.13,-60.43,-58.28,48.03,150.59,0.4,0.43,0.2,0.15,-3.19,-68.06,0.15,0.09,0.47,12.19,-1.54,2
53,279,Poland,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,0,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,0,m,m,m,m,m,2
54,280,Poland,0.19,0.47,-0.06,0.3,0.06,0.22,1.12,0.34,0.52,0.24,2.75,0.73,0.83,0.54,2.14,0.51,0.66,0.24,0.57,0.47,0.47,-13.49,-0.06,4.56,1.36,0.46,3.79,0.66,0.34,0.55,0.06,0.91,1,0.06,0.7,m,0.3,0.27,0.78,0.05,0.08,0.54,0.93,-2090,0.37,0.73,m,17.84,4.18,0.35,-0.19,-1.18,-0.16,-0.16,-0.48,-0.35,-0.42,-2.01,1.63,-6.77,-0.68,0,0.01,0.01,0.01,249.54,583.94,493.09,545.8,130.99,134.23,0.94,1.15,1.22,0.2,2.53,10.61,0,1.57,0.9,-3,-3.63,2
55,289,Poland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
56,293,Poland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
57,298,Poland,0.04,0.28,0.52,3.81,0.04,0.06,2.53,1.64,0.72,0.06,0.3,0.05,0.04,0.26,3.53,0.22,0.03,0.06,0.02,0.68,0.21,-9.27,1.78,3.64,0.17,0.09,8.54,5.59,1.64,1.65,3.04,0.81,1,0.27,0.04,0.1,1.61,0.08,0.05,2.49,0.19,2.44,2.78,2288,0.06,0.14,4.02,6.61,8.86,5.6,0.07,0.33,0.15,0.12,0.07,0.43,1.25,0.66,10.16,0.17,1.98,0,0,0,0,495.46,6357.63,4388.73,5708.63,354.98,1210.57,0.94,0.94,0.91,0.89,0.83,m,0.87,0.87,0.57,-2.97,-1.17,2
58,302,Poland,-0.06,0.62,-0.04,0.92,-0.06,-0.05,0.62,3.69,0.38,-0.03,-0.12,-0.01,-0.01,-0.09,1.62,-0.06,-0.01,-0.03,-0.02,0.44,-0.09,1.96,-0.06,3.28,0.17,-0.09,8.4,6.09,0,3.73,1.39,0.55,0,0.03,-0.01,-0.33,0.53,0.04,0.01,0.66,0.45,0.65,0.94,-70.87,-0.15,0.44,21.27,16.43,8.24,6.26,-0.06,-0.52,0,0.11,0.03,0.18,0.64,0.24,-23.65,0.27,-3.12,0,0,0,0,3451.47,-25075.4,30995.33,-37818.82,1319.6,2237.66,0.89,0.89,0.95,0.86,0.6,2.19,1.05,0.76,0.93,1.52,0.18,2
59,303,Poland,0.18,1.37,0.17,1.35,-5.35,0.18,-0.27,17.07,-0.37,0.28,0.37,0.01,0.02,0.18,0.73,0.21,0.01,0.28,0.01,4.98,0.18,-2.67,0.46,3.09,0.07,-0.76,35.55,12.37,0,17.19,0.67,0.52,0,0.59,0.02,4.45,1.26,0.34,0.02,0.47,0.48,-1.03,1.45,205.49,-0.48,-2.4,426.89,53.3,35.88,47.58,0.01,0.07,0.02,2.69,0.16,1.96,3.01,5.65,0.87,4.19,9.5,0,0,0,0,-3556.09,7412.07,3823.8,4664.02,1318.44,3674.99,0.44,0.43,0.12,0.09,-1.92,-0.92,0.01,0.08,0.07,2.5,10.05,2
60,313,Poland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
61,316,Poland,0.09,0.62,0.15,1.25,0.09,0.11,0.61,3.54,0.38,0.14,0.18,0.03,0.04,0.18,1.61,0.21,0.03,0.13,0.03,0.29,0.15,-4.66,0.66,3.14,0.17,0.33,5.58,5.52,0,3.55,82.81,0.39,0,0.27,0.04,0.4,0.88,0.18,0.05,1.23,0.61,1.67,1.69,208.71,0.24,0.02,15.53,9.48,5.78,15.52,-0.02,0.89,0,0.1,0.03,0.16,15.72,0.17,3.08,0.13,0.8,0,0,0,0.13,4566.91,15837.25,9907.56,13647.78,1736.72,7607.59,0.87,0.9,0.8,0.65,0.47,3.49,0.32,1.92,0.85,-0.9,2.63,2
62,321,Poland,0.03,0.74,0.06,1.08,0.03,0.04,0.35,1.18,0.26,0.04,0.05,0.06,0.03,0.09,1.35,0.05,0.03,0.04,0.02,0.23,0.08,-5.64,0.28,3.62,0.61,0.15,1.55,1.55,1.18,1.19,m,0.26,1,0.09,0.03,0.08,0.57,0.07,0.06,1.08,0.74,1.28,1.28,240,0.11,0,3.16,3.29,1.59,5.79,-0.28,1.98,1.9,0.01,0.01,0.02,m,0.02,-2.82,0.02,0.37,0,0,0,0,2052.78,14168.15,7963.11,13463.26,534.9,2635.48,0.9,0.86,1.1,1.05,0.85,4.47,1.05,1.07,1.1,0.79,-0.29,2
63,324,Poland,0.45,0.11,0.8,8.6,0.46,0.55,8.46,0.92,0.89,0.55,5.2,0.6,1.1,5.22,9.46,4.61,0.6,0.49,0.49,0.44,4.3,-1144.6,8.83,3.39,-0.38,0.55,4.19,4.19,0.92,0.93,m,0.89,1,4.26,0.53,1.6,5.92,0.49,0.53,8.6,0.11,9.83,9.83,1960,0.51,0,3.25,5.24,8.69,10.1,1.37,-1.75,-0.01,-0.26,-0.28,-2.45,m,-2.45,-0.96,-0.29,-0.53,0,0,0,0.02,12296.86,20012.61,22433.03,22538.94,10995.14,120855.41,1.79,1.45,2.31,2.22,2.32,11.22,1.84,3.42,2.93,1.42,3.5,2
64,328,Poland,0.11,0.37,0.57,2.56,0.11,0.15,1.74,3.55,0.63,0.18,0.4,0.05,0.05,0.47,2.74,0.46,0.04,0.17,0.03,0.53,0.36,-5.27,8.76,3.07,0.07,0.26,9.31,9.31,0,3.56,m,0.63,0,0.36,0.05,0.16,0.7,0.19,0.05,2.56,0.37,9.76,9.76,675.14,0.17,0,5.22,28.58,9.74,54.64,-0.03,0.23,0.06,0.47,0.13,1.27,m,1.27,9.71,0.5,2.79,0,0,0,0.15,2157.57,9326.9,7116.33,8226.28,1370.03,21065.42,0.85,0.87,0.65,0.64,0.58,1.53,0.58,0.59,0.47,-1.5,-0.39,2
65,333,Poland,0.01,0.77,0.48,2.25,-0.23,0.01,0.3,2.09,0.23,0.06,0.04,0.01,0.03,0.02,1.3,0.07,0.01,0.06,0.01,0.46,0.02,-1.35,3.33,3.29,0.37,0.24,5.44,2.68,0,2.12,1.9,0.62,0,0.08,0.03,0.13,1.96,0.06,0.03,1.11,0.38,1.59,4.33,927.05,0.06,1.72,18.61,2.93,5.5,14.61,0.17,0.45,0,0.03,0.02,0.04,0.08,0.09,1.4,0.04,0.59,0,0,0,0,1649.73,25585.46,5837.32,6815.64,376.2,2628.18,0.98,0.89,1.08,1.12,-0.33,-0.17,0.85,1.14,1.25,0.19,-2.92,2
66,342,Poland,0.1,0.62,0.38,1.79,0.1,0.13,0.61,2.04,0.38,0.15,0.27,0.07,0.08,0.24,1.61,0.25,0.06,0.15,0.05,0.28,0.19,-6.26,2.64,3.14,0.26,0.41,3.94,3.04,2.04,2.04,2.93,0.52,1,0.2,0.08,0.22,0.87,0.17,0.09,1.38,0.48,2.65,3.64,526,0.26,0.37,4.61,6.38,4.25,14.24,-0.03,-2.34,-0.48,-0.04,-0.02,-0.07,-0.3,-0.09,-0.54,-0.05,-0.27,0,0,0,0,917.64,2678.19,1991.67,2250.42,347.74,2432.04,1.13,1.11,1.14,1.19,1.44,3.43,0.88,1.63,1.06,3.07,52.84,2
67,349,Poland,-0.2,0.27,0.69,3.56,-0.31,-0.2,2.7,1.74,0.73,-0.15,-0.75,-0.11,-0.08,-0.71,3.7,-0.56,-0.12,-0.15,-0.12,1.03,-0.71,3.01,18.38,3.23,0.15,-0.21,7.25,7.25,0,1.81,m,0.73,0,0.08,-0.09,-0.27,0.77,-0.14,-0.08,3.56,0.27,19.38,19.38,1176,-0.28,0,2.31,9.27,6.43,46.19,-0.03,-0.28,0.01,0.71,0.41,2.64,m,2.64,291.35,0.74,-4.72,0,0,0,0,2633.76,-9519.65,-13551.87,-12677.1,1920.69,51031.25,0.63,0.61,0.54,0.54,0.4,6.05,0.5,0.7,0.3,0.99,-0.65,2
68,353,Poland,0,0.25,-0.03,0.86,-0.05,0.01,3.08,1,0.76,0,0.06,0.02,0,0.07,4.08,0.01,0.01,0,0,0.81,0,0.34,-0.04,3.63,0.23,0,4.29,4.16,1,1.02,27.87,0.76,1,0.2,0,-0.36,0.82,0.01,0.01,0.83,0.24,0.95,0.96,-145,0,0.01,112.53,6.77,4.2,1.26,-0.04,0.19,-0.23,-0.02,-0.02,-0.07,-2.41,-0.07,0.78,-0.08,-6.04,0,0,0,0,629.24,36154.5,70127.27,169757.16,475.14,597.09,m,m,m,m,m,0.2,m,m,m,m,m,2
69,363,Poland,0.11,0.3,0.66,3.22,0.11,0.14,2.37,1.69,0.7,0.14,0.47,0.09,0.08,0.52,3.37,0.43,0.08,0.13,0.07,0.59,0.42,-900.94,15.44,3.1,0,0.18,5.31,5.31,1.69,1.71,m,0.7,1,1.14,0.08,0.48,2.45,0.14,0.09,3.22,0.3,16.45,16.45,834,0.16,0,7.32,4.36,5.7,39.56,0.28,-1.68,-0.24,-0.07,-0.04,-0.22,m,-0.22,-1.7,-0.07,-0.51,0,0,0,0,1030.42,5241.7,5028.57,5643.46,724.47,16948.15,1.06,0.98,1.15,1.15,m,4.59,0.91,1.41,1.09,-0.49,0.4,2
70,371,Poland,0.01,0.28,0.32,2.14,0.01,0.01,2.56,1.29,0.72,0.01,0.03,0.01,0.01,0.03,3.56,0.04,0.01,0.01,0,0.71,0.02,-4.15,0.8,3.28,0.22,0.01,4.63,4.63,1.28,1.31,678,0.72,1,0.19,0.01,0.02,1.27,0.03,0.02,2.14,0.28,1.8,1.8,607,0.01,0,5.29,4.24,4.59,3.21,0.06,-0.37,0,-0.02,-0.01,-0.06,-30.99,-0.06,0.65,-0.03,-1.54,0,0,0,0,617.31,53483.09,17571.42,42024.33,444.2,1109.77,0.94,0.87,0.9,0.86,-0.09,-1.43,1.1,0.77,0.71,-0.11,-0.5,2
71,373,Poland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
72,387,Poland,-0.72,2.73,-1.9,0.28,-4.57,-0.72,-0.63,1.22,-1.73,-0.46,-0.27,-0.45,-0.29,-0.2,0.37,-0.17,-0.59,-0.47,-0.59,2.84,-0.2,1.82,-6.96,2.7,2.22,0.27,0.71,0.68,1.22,1.4,2.7,-1.63,1,0.01,-0.38,-1.57,0.1,-0.31,-0.25,0.27,2.63,-6.32,-5.96,-960,0.41,-0.06,2.66,5.3,0.46,4.46,-1.21,-1.21,0.28,0.59,0.49,0.22,5.98,0.23,-5.57,0.82,-1.27,0,0,0,0,-2582.53,-6235.47,-14625,-9535.35,4468.84,16320.65,0.69,0.67,0.7,0.75,0.5,1291.86,4.91,0.32,2.31,3.06,0.95,2
73,402,Poland,-0.01,0.6,0.43,2.12,-0.5,-0.09,0.68,1.82,0.41,-0.06,-0.23,0.02,-0.04,0.06,1.68,-0.12,-0.05,-0.07,-0.01,0.91,0.19,2.6,2.4,2.54,0.33,-0.17,5.03,3.26,1.82,1.87,1.04,0.62,1,0.01,-0.04,-0.02,0.56,0.06,0.03,1.38,0.39,2.26,3.42,149,-0.03,0.51,3.03,8.47,4.71,10.11,-0.09,-0.09,0.86,0.15,0.08,0.25,0.71,0.38,38.81,0.18,-2.09,0,0,0,0,995.07,-4563.01,7336.84,-5741.35,404.67,2248.39,0.73,0.79,0.75,0.86,-0.71,-0.73,1.14,0.51,0.83,5.03,-0.24,2
74,411,Poland,0.1,0.62,0.32,1.51,0.07,0.1,0.6,0.56,0.38,0.1,0.16,0.17,0.21,0.16,1.6,0.16,0.17,0.1,0.17,0.31,0.16,m,5.07,2.95,1.11,0.26,0.75,0.75,0.56,0.56,m,0.38,1,0.1,0.17,1.75,1.42,0.1,0.18,1.51,0.62,6.06,6.06,284,0.26,0,10.14,0.69,0.9,9.05,0.56,1,0,0.1,0.17,0.16,m,0.16,0.59,0.1,1,0,0,0,0,3467.08,13452.3,13066.67,13452.3,1304.49,21000,0.61,0.47,1.34,1.38,-2.39,-6.16,1.11,1.4,1.23,1.31,49.58,2
75,412,Poland,-0.28,0.55,0.23,1.53,-0.28,-0.28,0.82,0,0.45,-0.28,-0.66,m,-0.86,-0.38,1.82,-0.51,m,-0.28,m,0.73,-0.38,1012.94,0.65,3.05,m,-0.62,0.77,0.59,0,0.05,5.17,0.58,m,1.49,m,-314.32,1.53,-0.21,m,1.18,0.42,1.29,1.64,254,-0.62,0.28,0,0,0,0,0.89,-0.97,0.26,0.29,m,0.52,2.29,0.68,1.24,0.44,-1.03,0,0,0,m,0,0,0,0,0,0,m,1.59,1.19,1.52,1.65,m,0.5,0.15,2.64,9.34,1.99,2
76,413,Hungary,0.05,0.88,-0.07,0.92,-0.55,0.05,0.14,0.13,0.12,0.06,0.06,0.39,0.5,0.06,1.14,0.06,0.39,0.05,0.35,0.67,0.05,-8.53,-0.35,2.94,6.8,0.44,0.13,0.13,0,0.17,m,0.12,0,0,0.42,m,0.92,0,0,0.92,0.88,0.65,0.65,-57,0.37,0,m,0.16,0.15,0.68,-0.56,m,m,0,0,0,m,0,m,0,0,0,0,0,0,36214.27,89514.24,m,82584.11,4459.29,23559.27,0.69,0.84,1.11,1.15,1.1,m,m,1.15,1.07,m,m,2
77,414,Poland,0,0.44,0.66,3,0,0.01,1.28,0.41,0.56,0.03,0.02,0.02,0.08,0.02,2.28,0.06,0.02,0.03,0.01,0.56,0.01,-1.32,110,2.7,1.08,0.05,1.18,0.89,0.41,0.42,0.15,0.67,1,0.01,0.07,0,0.05,0.03,0.08,2.27,0.33,93.19,110.86,330,0.01,0.19,0.41,28.86,1.22,67.33,-0.77,1.62,0,0,0.01,0.01,0.03,0.01,3.5,0,0.1,0,0,0,0,1676.68,138683.43,29296.88,33434.38,941.55,156250,0.99,0.88,1.14,1.15,0.42,0.76,1.16,0.64,1.46,-0.02,-3.64,2
78,424,Poland,0,0.03,0.75,23.77,0,0,29.38,0,0.97,0,-0.11,m,-1,-0.11,30.38,-0.11,m,0,m,0.97,-0.11,m,3.45,4.27,m,0,0.11,0.11,0,0,m,0.97,m,0,m,m,23.77,0,m,23.77,0.03,4.45,4.45,13960,0,0,m,0,0,0,215.3,-1,0,0,m,0.11,m,0.11,-248.38,0,-1,0,0,0,0,190.34,-52868.6,m,-52868.6,184.08,846.63,0,0.06,0.99,0.99,0.06,m,m,0.99,1.01,0,0.19,2
79,431,Poland,-0.01,0.01,0.93,99.8,-0.31,-0.01,105.48,0.03,0.99,-0.01,-0.59,-0.21,-0.36,-0.59,106.5,-1.57,-0.21,-0.01,-0.21,1.3,-0.59,m,14.97,2.73,-4.11,-0.01,4.39,4.39,0.03,0.03,m,0.99,1.01,14.6,-0.56,-2.95,99.6,0,0,99.8,0.01,15.98,15.98,494,-0.01,0,14,0.03,2.8,0.42,28.95,0.95,0,-0.01,-0.22,-0.62,m,-0.62,2.51,-0.01,0.39,0,0,0,0,319.97,-57203.39,m,-21442.19,316.9,5113.64,0.25,0.28,0.99,0.99,0.39,0.42,m,1,m,-0.05,-0.03,2
80,433,Poland,-11.78,14.05,-13.1,0.07,-23.26,-11.78,-0.93,0.01,-13.05,-7.72,-0.84,-2091.18,-2.09,-0.84,0.07,-0.55,-2092.09,-7.74,-2092.35,10.21,-0.84,1.91,-198.09,2.85,2477.19,0.59,0.55,0.55,0.01,0.02,132.6,-13.04,1.11,0.01,-1374.24,m,0.07,-7.73,-1373.25,0.07,14.04,-197.19,-197.08,-9310,0.9,0,m,0.01,0,0.09,-1.11,-1.01,0,11.67,2071.97,0.83,1657.58,0.83,-88.65,12.5,-1.51,0,0,0,0,-22.82,-25.27,-38.51,-38.48,297.72,4500.17,m,7.52,0.84,0.83,8.97,m,m,0.94,6.04,3.55,2.3,2
81,436,Poland,-0.07,0.55,-0.4,0.24,-0.7,-0.07,0.8,0,0.45,-0.07,-0.14,m,-1.04,-0.13,1.8,-0.13,m,-0.07,m,1.15,-0.13,29.02,-0.46,2.88,m,-0.16,0.14,0.13,0,0,2.33,0.47,m,0,m,-1.2,0.12,0,m,0.23,0.53,0.51,0.54,-306,-0.17,0.06,0,0,0,0,-6.25,806.29,0,0,m,0,0,0,1,0,0,0,0,0,0,1979.38,-11916.26,m,-12326.87,880.99,1006.82,0,0.74,0.98,0.94,0.77,-1.7,0.98,0.9,0.95,0,0.16,2
82,437,Poland,-3.29,0.69,0.3,1.44,-343.04,-3.28,0.46,0.11,0.32,-3.26,-4.77,-29.82,-0.97,-4.77,1.45,-4.81,-29.82,-3.31,-29.88,343.35,-4.78,115.68,m,1.56,-0.42,-10.46,5.02,5.02,0.11,0.14,m,0.32,0.98,1.04,-30.08,m,1.44,0,0,1.44,0.69,m,m,11,-10.39,0,m,0.4,0.16,m,0.09,-28.66,0,0.11,1.04,0.17,m,0.17,-0.04,0.12,-0.03,0,0,0,0,108244.46,-10436.92,m,-10346.7,34273.44,m,2,0.39,0.22,0.21,-0.03,m,m,1.43,1.14,0,0.2,2
83,440,Poland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
84,445,Poland,-0.02,0,0.98,m,-0.02,-0.02,m,0,1,-0.02,m,m,-1,m,m,m,m,-0.02,m,1.01,m,m,m,1.41,m,-0.02,m,m,0,0,m,1,m,m,m,m,m,0,m,m,0,m,m,25,-0.02,0,m,m,m,m,51.02,-8.17,0,0,m,m,m,m,-0.11,0,-0.12,0,0,0,m,0,0,m,0,0,m,m,m,m,m,m,m,m,m,m,m,m,2
85,446,Poland,-262.62,384.82,-383.82,0,-2046.78,-272.94,-1,0,-383.82,-272.94,-0.71,m,-1,-0.71,0,-0.71,m,-272.94,m,1662.95,-0.68,m,m,2.71,m,0.71,0.71,0.71,0,0,m,-383.82,m,0,m,m,0,0,m,0,384.82,m,m,-197589,0.68,0,m,0,0,m,-1.41,m,m,0,m,0,m,0,m,0,0,0,0,0,0,-21.94,-30.85,m,-30.85,8419.36,m,0,907.79,1.54,m,-544.12,10447.7,m,m,1186.25,0,0,2
86,448,Slovakia,0.01,0,0.72,909,-2.2,0.01,1258,0,1,0.01,8.93,m,-2.07,8.93,1258.92,-1.38,m,0,m,3.2,7.07,1.94,2.59,3.4,m,0,1.38,1.38,0,0,m,1,m,489.5,m,m,909,0,m,909,0,3.59,3.59,1816,0.01,0,m,0,0,0,-101.74,m,m,0,m,0,m,0,m,0,0,0,0,0,0,38.41,5414.68,m,-35146.17,38.39,138.07,m,0.37,0.95,0.99,0.37,m,m,0.84,1,m,m,2
87,2,Hungary,0.05,0.52,0.04,1.15,0.36,0.05,0.91,1.04,0.48,0.08,0.19,m,0.06,m,1.91,0.11,0.05,0.06,0.04,0.12,m,-2.43,0.06,7.24,0.44,0.12,3.47,1.89,0,1.05,0.96,0.71,0,0.38,0.06,0.45,0.79,0.14,0.13,0.63,0.29,0.71,1.06,735896.04,0.09,0.5,10.33,8.75,3.65,1.55,m,m,m,m,m,m,m,m,m,m,m,0,0.02,0.01,0,981.29,8604.18,3462.66,8066.96,468.7,696.87,0.95,0.96,1.06,1,0.77,2.61,1,0.99,1,m,m,3
88,5,Poland,0.04,0.49,0.04,1.28,0.43,0.03,1.06,0.57,0.51,0.01,0.17,0.13,0,0.15,2.05,0,0.05,0,0.06,0.09,0.17,0,0.05,7.02,0.81,0,3.86,1.21,0,0.59,0.23,0.85,0,0.29,0,0.3,0.5,0.05,0.08,0.4,0.15,0.64,1.06,448692.63,0.07,0.65,4.74,17.85,3.72,0.71,-0.15,0.43,0.58,0.08,0.15,0.17,0.25,0.55,34.39,0.43,m,0,0.03,0.05,0,940.54,18521.63,10051.84,m,484.34,602.71,1.04,1.06,1.05,0.97,m,8.02,0.94,1.03,1.02,1.45,0.26,3
89,6,Poland,0.05,0.46,0.15,1.61,0.44,0.1,1.16,1.23,0.54,0.09,0.4,0.11,0.07,0.3,2.16,0.18,0.08,0.08,0.04,0.1,0.19,5.6,0.25,6.79,0.32,0.15,4.67,2.5,0.16,1.24,0.9,0.75,0.13,0.32,0.07,0.23,0.78,0.12,0.1,0.86,0.25,0.89,1.25,941912,0.09,0.4,6.01,10.78,4.98,2.05,-0.05,0.65,0.51,0.07,0.06,0.16,0.35,0.3,-4.25,0.19,0.9,0,0.04,0.04,0.03,1213.23,6533.64,5418,7919.19,651.69,1083.63,0.92,0.94,1.08,1.11,7.12,-5.42,1.1,1,1.06,1.36,0.28,3
